field,venue_db_id,jif,unscaled_rank,scaled_rank,normed_rank,prob_upset_top,n_selected,frac_selected,ordinal_porc,ordinal_jif,subset_ordinal_porc,subset_ordinal_jif
Philosophy,1652960,0.0,0.1310112318721329,0.4200592541174183,0.47288361574864757,0.0006093530887325,1,0.008695652173913,64.0,308.5,64.0,
Philosophy,1681581,,-0.06365087437686884,-0.20408279834178256,0.3243682170254128,8.077266373436649e-05,1,0.008695652173913,258.0,,258.0,
Philosophy,1681627,1.5,-0.07095327204444345,-0.22749636123770273,0.3187969298235359,7.472977425092674e-05,1,0.008695652173913,266.0,142.5,266.0,
Philosophy,1652949,1.3,0.028377778610030754,0.09098722564545472,0.39458050618470414,0.0002475233373501,1,0.008695652173913,149.0,160.0,149.0,
Philosophy,1665218,1.6,0.03935460022671197,0.12618203631163732,0.40295515634404194,0.000240680077765,1,0.008695652173913,134.0,135.0,134.0,
Philosophy,1681601,0.7,-0.005136510363012664,-0.016469112464794978,0.36901113325605395,0.0001469823438665,1,0.008695652173913,185.0,240.5,185.0,
Philosophy,1648820,2.2,0.10700513787812016,0.34308889216219596,0.4545684197918765,0.0005483082708415,1,0.008695652173913,82.0,95.0,82.0,
Philosophy,1663154,0.8,0.0008528824398706713,0.002734583565259361,0.37358067725909927,0.0001571973334207,1,0.008695652173913,178.0,223.5,178.0,
Philosophy,1647178,6.2,-0.08860526215484697,-0.28409365975559686,0.3053295303382362,6.372812517653987e-05,1,0.008695652173913,286.0,34.0,286.0,
Philosophy,1669715,,0.022666255125670907,0.07267445764510559,0.39022295964448644,0.0001936267413805,1,0.008695652173913,156.0,,156.0,
Philosophy,1647727,1.0,0.08867189796568596,0.2843073131088136,0.4405812679627421,0.0003922919872776,1,0.008695652173913,91.0,198.0,91.0,
Philosophy,1653705,2.1,-0.19310596262990717,-0.6191526136256326,0.22560182422753294,2.1853664146934052e-05,1,0.008695652173913,361.0,101.5,361.0,
Philosophy,1661890,,-0.2500264854358819,-0.8016559914824823,0.1821749123186947,1.2217770810312109e-05,1,0.008695652173913,381.0,,381.0,
Philosophy,1661877,,-0.03778951678778173,-0.121163933874205,0.34409886675420215,0.0001066789830988,1,0.008695652173913,222.0,,222.0,
Philosophy,1647539,,-0.06606456981874455,-0.21182179210966412,0.3225267135717921,8.167027400568597e-05,1,0.008695652173913,261.0,,261.0,
Philosophy,1650725,2.1,-0.0894466652924296,-0.2867914374143091,0.3046875906979385,6.236031385726393e-05,1,0.008695652173913,287.0,101.5,287.0,
Philosophy,1665943,1.8,-0.19039382044928893,-0.610456714768939,0.22767102446948137,2.3013301627361523e-05,1,0.008695652173913,358.0,120.0,358.0,
Philosophy,1647506,2.4,-0.18194666112697086,-0.5833727205675329,0.2341156954894693,2.2865701187481977e-05,1,0.008695652173913,351.0,85.0,351.0,
Philosophy,1708946,,0.17106045676056056,0.5484684545669872,0.5034387490381901,0.0008847136981516,1,0.008695652173913,45.0,,45.0,
Philosophy,1647500,2.5,-0.04427492435210198,-0.14195799423976743,0.33915089352583455,9.64777941604686e-05,1,0.008695652173913,230.0,82.5,230.0,
Philosophy,1665931,,-0.07921449764552262,-0.2539841990703548,0.3124941149730819,6.771953319116884e-05,1,0.008695652173913,275.0,,275.0,
Philosophy,1674117,,-0.0739613773837836,-0.23714120211961356,0.316501927614415,7.379995339038784e-05,1,0.008695652173913,269.0,,269.0,
Philosophy,1651581,1.9,0.12202325642204802,0.39124124966362306,0.46602633477390804,0.0004799534174912,1,0.008695652173913,71.0,112.0,71.0,
Philosophy,1659769,0.1,0.014367676994560898,0.04606685698235153,0.38389164707561285,0.0001677691443829,1,0.008695652173913,167.0,305.5,167.0,
Philosophy,1704823,,0.003398636142363947,0.010896993659072424,0.37552293316838914,0.0001622587596595,1,0.008695652173913,176.0,,176.0,
Philosophy,1647457,8.7,0.0641698044433705,0.205746635659842,0.42188765440260767,0.0003029213979227,1,0.008695652173913,112.0,25.0,112.0,
Philosophy,1672028,2.9,0.09341810516175145,0.2995250026624225,0.44420233663259967,0.0004115711718935,1,0.008695652173913,85.0,69.5,85.0,
Philosophy,1649602,0.2,0.16162481429454273,0.518215102394385,0.4962399252401058,0.0008636769523331,1,0.008695652173913,51.0,298.0,51.0,
Philosophy,1657800,0.8,-0.06425926160448035,-0.20603346074983075,0.3239040544134493,8.160939454106979e-05,1,0.008695652173913,260.0,223.5,260.0,
Philosophy,1712723,0.3,0.11038215921716074,0.35391658261701514,0.4571448825679596,0.0004778938639228,1,0.008695652173913,78.0,287.0,78.0,
Philosophy,1706957,,-0.0374387497046601,-0.1200392748873418,0.3443664807968765,0.000107615973978,1,0.008695652173913,221.0,,221.0,
Philosophy,1696877,,-0.08520663242198283,-0.2731966866472029,0.3079224790102459,6.519039752842526e-05,1,0.008695652173913,285.0,,285.0,
Philosophy,1647722,8.1,0.07778676451822131,0.24940648077885552,0.4322765703240658,0.0003694457563142,1,0.008695652173913,100.0,27.5,100.0,
Philosophy,1684586,0.6,0.09203349312648584,0.2950855428507375,0.44314596149900576,0.0003976774371266,1,0.008695652173913,86.0,256.5,86.0,
Philosophy,1647710,1.3,-0.05438003414562194,-0.17435784898492002,0.331441306698458,8.983045221541256e-05,1,0.008695652173913,247.0,160.0,247.0,
Philosophy,1692756,,-0.09646001801236714,-0.30927824003650456,0.29933682728712935,5.809000508177656e-05,1,0.008695652173913,291.0,,291.0,
Philosophy,1668176,1.1,0.06905681749494896,0.22141578881544094,0.4256161494133029,0.0003161547817471,1,0.008695652173913,107.0,186.5,107.0,
Philosophy,1662005,0.8,0.11688846595548959,0.37477765167580385,0.46210880060048387,0.0005221152126373,1,0.008695652173913,74.0,223.5,74.0,
